7,25,839,6,2024,725839,525845,534327,0,0,525845,534327,9651,4200,535496,538527,525845,534327,3472968,3471684,3464310,3468284,525845,534327,3032604,3058710,0,0
7,25,940,6,2024,725940,274872,276140,0,0,274872,276140,3179,2380,278051,278519,282391,283658,1676748,1695876,1673980,1693999,273009,274267,1595231,1617139,0,0
8,10,586,6,2024,810586,150227,152260,0,0,150227,152260,2582,2795,152809,155055,150227,152260,1089373,1095168,1086877,1092448,147832,149847,1078891,1078020,0,0
9,25,0,6,2024,925000,11430375,11533776,1892238,1925205,13322613,13458981,760477,755007,14083090,14213987,13331820,13468741,99385083,99247113,98706037,98572783,6159303,6252031,192209310,193220139,0,0
20,0,2,6,2024,2000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63460,0,0,0
20,0,4,6,2024,2000004,,,,,,,,,,14213987,,,,,,,,,,,,
20,0,7,6,2024,2000007,,,,,,,,,,0,,,,,,,0,,52354,,,
20,0,9,6,2024,2000009,,,,,,,,,,0,,,,,,,0,,18392,,,
20,0,11,6,2024,2000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3006,0,0,0
20,0,12,6,2024,2000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51735,0,0,0
